,Open,High,Low,Close,Volume
2020-01-02,237.0,250.0,237.0,248.5,6697245
2020-01-03,251.0,253.5,242.0,250.0,6732871
2020-01-06,247.5,248.5,243.5,243.5,2144867
2020-01-07,246.0,247.0,234.5,235.5,4679799
2020-01-08,233.5,240.5,232.0,237.0,3509637
2020-01-09,239.0,248.5,238.0,246.0,4002214
2020-01-10,245.0,249.5,243.0,248.0,2482186
2020-01-13,249.0,258.0,246.0,257.5,5206221
2020-01-14,257.0,261.5,256.0,261.5,4914763
2020-01-15,260.0,261.0,253.5,254.0,2589282
2020-01-16,253.5,257.5,249.5,257.5,3367843
2020-01-17,261.0,273.5,261.0,262.0,7821520
2020-01-20,266.0,267.0,260.0,260.5,2700700
2020-01-30,254.5,256.0,244.5,245.0,5782947
2020-01-31,249.0,251.5,243.5,247.5,2967877
2020-02-03,241.5,243.5,238.5,243.5,4396811
2020-02-04,241.5,249.0,241.5,248.0,1841450
2020-02-05,249.0,250.5,243.0,244.0,2944824
2020-02-06,250.0,259.0,249.5,257.5,6271960
2020-02-07,254.0,254.0,249.0,249.5,3851757
2020-02-10,243.0,249.0,243.0,245.0,2599649
2020-02-11,248.0,250.0,246.0,248.0,1644099
2020-02-12,248.5,256.5,248.5,252.5,3249950
2020-02-13,254.0,254.0,251.0,253.0,1742214
2020-02-14,253.5,259.0,253.5,257.0,2465863
2020-02-17,254.0,258.0,253.0,254.0,1548483
2020-02-18,253.0,255.5,249.0,252.0,1844718
2020-02-19,251.5,256.5,251.0,254.5,1507600
2020-02-20,256.0,257.0,249.5,249.5,2212898
2020-02-21,249.0,249.5,245.0,245.5,1619956
2020-02-24,242.0,243.5,239.0,239.0,2746412
2020-02-25,236.5,242.0,234.0,239.0,3744857
2020-02-26,233.0,237.0,230.5,236.0,4919986
2020-02-27,232.5,235.0,225.0,225.0,5600994
2020-03-02,216.0,226.5,209.0,225.0,6934998
2020-03-03,230.0,230.5,226.5,228.5,5976179
2020-03-04,228.5,231.0,223.5,229.0,3729071
2020-03-05,233.5,238.0,232.0,237.5,3424924
2020-03-06,235.0,238.5,235.0,236.0,3286581
2020-03-09,229.0,232.5,227.5,229.5,3406254
2020-03-10,227.0,231.0,227.0,228.0,3879147
2020-03-11,227.5,230.0,225.0,225.0,4738007
2020-03-12,221.0,221.5,203.0,205.0,6824701
2020-03-13,186.0,203.5,185.0,201.5,6903533
2020-03-16,198.0,201.0,187.0,187.0,7348777
2020-03-17,181.0,192.5,180.0,184.5,6141506
2020-03-18,182.5,187.0,179.5,180.0,5435308
2020-03-19,173.0,175.0,162.0,162.0,8599024
2020-03-20,166.0,176.5,166.0,171.0,6859117
2020-03-23,163.0,173.5,162.0,168.5,5843346
2020-03-24,175.0,182.0,174.5,178.0,5288915
2020-03-25,185.0,195.5,185.0,191.0,5869967
2020-03-26,197.5,205.0,191.5,201.0,5385951
2020-03-27,207.5,210.0,200.0,201.0,7167736
2020-03-30,197.5,202.0,194.5,199.0,4308767
2020-03-31,201.0,218.5,201.0,218.5,9692777
2020-04-01,217.0,220.5,210.0,213.0,5583682
2020-04-06,220.5,221.0,214.0,220.0,3424130
2020-04-07,221.0,224.5,218.5,219.5,5036217
2020-04-08,217.0,221.5,216.5,218.0,3505643
2020-04-09,218.0,221.5,215.0,219.0,3772017
2020-04-10,221.0,222.0,217.0,217.5,1618217
2020-04-13,217.0,219.0,215.5,216.0,1948518
2020-04-14,219.0,226.5,218.5,223.0,4430936
2020-04-15,225.5,227.5,222.0,224.5,2871136
2020-04-16,224.0,227.0,221.0,222.5,3577420
2020-04-17,227.5,238.5,226.5,230.5,8672593
2020-04-20,232.5,237.0,230.0,233.0,4531182
2020-04-21,232.5,237.0,230.5,233.5,4157363
2020-04-22,236.0,241.0,232.5,241.0,7030855
2020-04-23,241.0,241.0,235.0,235.5,4312348
2020-04-24,234.0,237.5,231.5,231.5,3329654
2020-04-27,237.5,243.0,236.0,236.0,7131761
2020-04-28,239.5,241.0,235.5,236.5,4009130
2020-04-29,240.5,249.0,240.0,246.5,6313917
2020-04-30,251.0,258.0,249.0,257.5,6834278
2020-05-04,244.0,248.0,239.0,242.0,10382327
2020-05-05,244.0,245.5,239.0,242.0,4178297
2020-05-06,244.5,245.0,240.5,243.5,3190962
2020-05-07,246.0,254.0,246.0,249.5,5717242
2020-05-08,252.0,254.0,250.0,250.5,4224875
2020-05-11,252.0,253.5,250.0,250.0,1895977
2020-05-12,252.0,252.0,243.5,244.0,3624795
2020-05-13,242.0,251.5,242.0,251.5,4114462
2020-05-14,251.5,253.5,246.0,246.0,2520079
2020-05-15,248.0,250.0,237.0,245.5,4792061
2020-05-18,248.0,253.0,242.0,250.0,5391001
2020-05-19,253.5,266.0,253.5,256.0,10665099
2020-05-20,258.5,261.5,252.0,255.5,5811301
2020-05-21,256.5,261.5,256.5,260.5,5339761
2020-05-22,250.0,256.0,246.0,246.5,6934133
2020-05-25,246.5,248.0,239.5,247.0,5238811
2020-05-26,250.0,252.5,248.0,251.0,2708044
2020-05-27,253.0,254.5,250.0,251.0,1563530
2020-05-28,255.0,256.5,253.0,254.5,4503434
2020-05-29,256.0,262.0,253.5,258.5,7441792
2020-06-01,263.0,272.0,263.0,269.5,8738087
2020-06-02,271.5,271.5,265.0,268.0,6636535
2020-06-03,271.0,271.0,265.5,266.0,2638115
2020-06-04,269.0,273.5,266.5,268.0,2871605
2020-06-05,268.0,269.5,267.0,269.5,1630653
2020-06-08,272.0,281.5,271.5,275.0,4964278
2020-06-09,274.5,275.0,268.0,271.0,2668501
2020-06-10,272.0,275.0,270.0,273.5,1932329
2020-06-11,273.0,281.0,271.0,273.5,4010496
2020-06-12,266.5,271.5,264.5,270.5,2847778
2020-06-15,271.5,278.5,270.0,272.0,2917695
2020-06-16,272.0,276.0,268.5,274.5,4085646
2020-06-17,278.0,287.5,275.0,284.5,6036889
2020-06-18,287.0,290.5,283.0,286.0,2916027
2020-06-19,290.0,298.0,289.0,295.0,5569609
2020-06-22,294.5,304.0,293.0,298.5,2949044
2020-06-23,302.0,303.0,294.0,295.0,3536330
2020-06-24,299.5,310.0,297.0,306.5,5332989
2020-06-29,300.5,304.5,297.0,297.5,4483866
2020-06-30,300.0,302.0,297.5,299.0,3338195
2020-07-01,301.5,317.5,301.0,314.0,6039155
2020-07-02,319.5,326.0,315.0,317.0,5310183
2020-07-03,321.5,335.0,321.0,333.5,7097551
2020-07-06,341.0,350.5,338.5,350.0,6004631
2020-07-07,358.0,364.0,340.0,343.5,7885255
2020-07-08,346.5,357.0,345.0,354.0,5562656
2020-07-09,362.0,377.5,358.0,367.5,8905711
2020-07-10,368.5,377.0,355.0,359.5,5637809
2020-07-13,362.0,368.0,350.0,360.5,4605479
2020-07-14,359.0,359.0,353.0,355.0,4394101
2020-07-15,359.0,364.0,348.0,350.0,4405348
2020-07-16,352.5,359.0,349.5,350.5,2752750
2020-07-17,353.0,354.5,341.0,342.5,3535455
2020-07-20,344.5,351.0,337.0,351.0,2976740
2020-07-21,358.0,368.0,356.5,365.0,4829363
2020-07-22,370.0,371.5,364.0,368.5,3720538
2020-07-23,368.0,373.0,361.0,373.0,3108293
2020-07-24,370.0,372.0,360.5,360.5,3916220
2020-07-27,361.0,371.0,360.5,365.0,3282087
2020-07-28,370.0,374.0,358.5,362.0,4002997
2020-07-29,358.0,365.5,357.0,362.0,1732879
2020-07-30,365.0,369.0,363.0,367.0,2067998
2020-07-31,365.5,380.0,365.0,374.5,5301644
